date,open,close,high,low,volume
2022-02-14,3451.850,3428.880,3457.260,3415.450,315274448.000
2022-02-15,3428.040,3446.090,3447.490,3421.640,275559322.000
2022-02-16,3457.070,3465.830,3475.060,3453.800,274993913.000
2022-02-17,3464.210,3468.040,3480.970,3454.280,297262682.000
2022-02-18,3451.630,3490.760,3490.760,3447.030,295149963.000
2022-02-21,3488.410,3490.610,3492.200,3471.690,301541740.000
2022-02-22,3473.290,3457.150,3473.390,3437.670,326279484.000
2022-02-23,3458.510,3489.150,3490.760,3458.180,325604895.000
2022-02-24,3474.370,3429.960,3486.980,3400.210,488354901.000
2022-02-25,3445.340,3451.410,3480.180,3440.930,377542556.000
2022-02-28,3450.320,3462.310,3462.310,3425.520,345838388.000
2022-03-01,3471.360,3488.830,3491.130,3465.720,326001662.000
2022-03-02,3478.290,3484.190,3486.620,3467.000,329367684.000
2022-03-03,3495.930,3481.110,3500.290,3473.340,412594289.000
2022-03-04,3459.980,3447.650,3474.880,3437.700,393526581.000
2022-03-07,3438.560,3372.860,3438.560,3360.740,393588999.000
2022-03-08,3372.550,3293.530,3383.630,3287.340,415926766.000
2022-03-09,3303.710,3256.390,3321.480,3147.680,466285569.000
2022-03-10,3312.180,3296.090,3326.580,3291.240,378336376.000
2022-03-11,3259.320,3309.750,3315.660,3217.420,384067127.000
2022-03-14,3271.890,3223.530,3297.800,3223.530,337968687.000
2022-03-15,3192.360,3063.970,3196.920,3063.970,465037164.000
2022-03-16,3107.670,3170.710,3177.790,3023.300,444667189.000
2022-03-17,3215.010,3215.040,3260.170,3202.930,420813458.000
2022-03-18,3207.150,3251.070,3260.780,3197.360,373035611.000
2022-03-21,3255.620,3253.690,3267.500,3223.390,354228488.000
2022-03-22,3249.540,3259.860,3279.110,3239.530,361196158.000
2022-03-23,3264.790,3271.030,3279.890,3251.980,349875370.000
2022-03-24,3256.060,3250.260,3266.890,3236.660,329006654.000
2022-03-25,3247.160,3212.240,3257.110,3211.640,340020006.000
2022-03-28,3185.170,3214.500,3230.220,3159.830,344994873.000
2022-03-29,3216.010,3203.940,3229.180,3196.460,316273649.000
2022-03-30,3217.590,3266.600,3266.600,3216.300,366753677.000
2022-03-31,3256.140,3252.200,3272.040,3246.060,398439934.000
2022-04-01,3234.670,3282.720,3287.230,3226.300,378210460.000
2022-04-06,3269.430,3283.430,3288.110,3255.690,429642779.000
2022-04-07,3267.810,3236.700,3290.260,3236.480,402626660.000
2022-04-08,3239.880,3251.850,3257.090,3208.350,413826799.000
2022-04-11,3239.860,3167.130,3239.860,3156.510,424160185.000
2022-04-12,3165.120,3213.330,3214.540,3140.900,418321923.000
2022-04-13,3199.800,3186.820,3225.470,3183.530,391156925.000
2022-04-14,3203.630,3225.640,3240.000,3200.230,371242344.000
2022-04-15,3210.700,3211.240,3229.870,3200.130,407842082.000
2022-04-18,3185.940,3195.520,3204.030,3166.980,347365123.000
2022-04-19,3192.090,3194.030,3207.830,3174.710,339944104.000
2022-04-20,3189.890,3151.050,3191.830,3142.050,362047037.000
2022-04-21,3138.430,3079.810,3160.900,3069.680,391934694.000
2022-04-22,3058.400,3086.920,3105.660,3049.360,342000563.000
2022-04-25,3034.270,2928.510,3043.820,2928.510,433606108.000
2022-04-26,2930.450,2886.430,2957.680,2878.260,401615154.000
2022-04-27,2866.820,2958.280,2959.180,2863.650,423060191.000
2022-04-28,2945.810,2975.480,2991.510,2936.790,375371775.000
2022-04-29,2986.060,3047.060,3048.490,2968.330,423932794.000
2022-05-05,3044.850,3067.760,3082.230,3042.120,383072875.000
2022-05-06,3011.320,3001.560,3030.690,2992.720,343264218.000
2022-05-09,2990.200,3004.140,3015.940,2983.610,292061556.000
2022-05-10,2965.780,3035.840,3043.780,2957.400,370660980.000
2022-05-11,3035.390,3058.700,3100.900,3034.670,423991912.000
2022-05-12,3044.800,3054.990,3072.160,3032.950,344440477.000
2022-05-13,3068.030,3084.280,3086.100,3059.250,331737852.000
2022-05-16,3100.550,3073.750,3102.580,3063.400,338108492.000
2022-05-17,3076.500,3093.700,3093.700,3057.640,330356537.000
2022-05-18,3095.890,3085.980,3105.840,3071.310,315037923.000
2022-05-19,3046.710,3096.960,3096.960,3042.670,336600749.000
2022-05-20,3107.090,3146.570,3146.570,3107.090,372336636.000
2022-05-23,3150.490,3146.860,3150.510,3127.900,353376325.000
2022-05-24,3149.060,3070.930,3153.130,3070.930,416312158.000
2022-05-25,3070.170,3107.460,3107.630,3069.950,342259227.000
2022-05-26,3111.480,3123.110,3133.280,3079.480,370305518.000
2022-05-27,3135.030,3130.240,3151.050,3112.540,359463866.000
2022-05-30,3141.960,3149.060,3150.890,3123.150,349362285.000
2022-05-31,3149.940,3186.430,3188.600,3142.000,374523265.000
2022-06-01,3179.690,3182.160,3190.610,3160.040,365664432.000
2022-06-02,3170.310,3195.460,3197.280,3163.760,361770632.000
2022-06-06,3196.960,3236.370,3237.070,3181.650,422027835.000
2022-06-07,3235.420,3241.760,3253.090,3222.640,402203220.000
2022-06-08,3245.020,3263.790,3266.630,3216.010,434183270.000
2022-06-09,3259.490,3238.950,3270.560,3223.480,422728372.000
2022-06-10,3214.180,3284.830,3286.620,3210.810,439865730.000
2022-06-13,3256.280,3255.550,3272.990,3229.310,438578312.000
2022-06-14,3224.210,3288.910,3289.130,3195.820,450388187.000
2022-06-15,3289.100,3305.410,3358.550,3288.850,550584131.000
2022-06-16,3306.840,3285.380,3319.690,3277.530,433220868.000
2022-06-17,3265.510,3316.790,3323.280,3262.890,395300700.000
2022-06-20,3315.780,3315.430,3333.900,3292.930,413460410.000
2022-06-21,3313.790,3306.720,3329.390,3279.830,394456891.000
2022-06-22,3309.120,3267.200,3311.020,3266.540,375529782.000
2022-06-23,3269.050,3320.150,3320.150,3262.290,400614211.000
2022-06-24,3324.740,3349.750,3356.710,3322.950,390819734.000
2022-06-27,3364.000,3379.190,3393.310,3364.000,414117738.000
2022-06-28,3377.680,3409.210,3412.100,3358.870,412056516.000
2022-06-29,3399.680,3361.520,3414.650,3358.470,440573559.000
2022-06-30,3358.930,3398.620,3417.010,3358.930,381243178.000
2022-07-01,3400.260,3387.640,3404.050,3378.360,350489299.000
2022-07-04,3381.820,3405.430,3405.620,3364.090,357737919.000
2022-07-05,3411.130,3404.030,3424.840,3372.060,411699672.000
2022-07-06,3391.030,3355.350,3391.030,3333.100,384630047.000
2022-07-07,3353.130,3364.400,3375.860,3332.310,334400202.000
2022-07-08,3380.370,3356.080,3386.310,3354.120,322921072.000
2022-07-11,3341.100,3313.580,3341.100,3297.010,342669193.000
2022-07-12,3307.220,3281.470,3319.250,3277.080,334600539.000
2022-07-13,3279.600,3284.290,3297.020,3266.480,331845669.000
2022-07-14,3277.450,3281.740,3299.250,3261.490,355926432.000
2022-07-15,3261.380,3228.060,3288.920,3228.060,380156371.000
2022-07-18,3235.090,3278.100,3278.470,3226.230,348346022.000
2022-07-19,3278.720,3279.430,3283.930,3256.020,315651918.000
2022-07-20,3291.550,3304.720,3308.350,3287.740,301515123.000
2022-07-21,3297.660,3272.000,3300.530,3272.000,332358707.000
2022-07-22,3276.200,3269.970,3293.640,3246.730,300690066.000
2022-07-25,3269.710,3250.390,3273.180,3243.030,271245744.000
2022-07-26,3254.190,3277.440,3282.410,3246.040,259468676.000
2022-07-27,3271.780,3275.760,3282.570,3265.730,249131485.000
2022-07-28,3287.500,3282.580,3305.710,3277.110,288055056.000
2022-07-29,3282.810,3253.240,3294.800,3246.370,307331047.000
2022-08-01,3246.620,3259.960,3264.300,3225.550,292204805.000
2022-08-02,3231.260,3186.270,3231.260,3155.190,394176168.000
2022-08-03,3188.890,3163.670,3217.550,3159.460,324885673.000
2022-08-04,3179.430,3189.040,3191.000,3155.700,260898943.000
2022-08-05,3195.230,3227.030,3228.890,3184.450,274683729.000
2022-08-08,3218.850,3236.930,3237.970,3214.080,254268050.000
2022-08-09,3235.740,3247.430,3248.770,3227.540,259605467.000
2022-08-10,3242.360,3230.020,3253.170,3217.810,257583592.000
2022-08-11,3243.470,3281.670,3281.670,3237.900,300605376.000
2022-08-12,3275.770,3276.890,3288.220,3272.840,299932928.000
2022-08-15,3268.370,3276.090,3286.890,3261.820,287106773.000
2022-08-16,3278.680,3277.880,3295.020,3271.570,303592274.000
2022-08-17,3282.100,3292.530,3296.000,3263.350,326124759.000
2022-08-18,3286.370,3277.540,3289.140,3270.560,301694778.000
2022-08-19,3275.620,3258.080,3286.490,3258.060,333535471.000
2022-08-22,3249.700,3277.790,3278.170,3247.190,314537869.000
2022-08-23,3274.430,3276.220,3284.600,3262.630,316566356.000
2022-08-24,3279.170,3215.200,3281.880,3212.390,366140577.000
2022-08-25,3223.460,3246.250,3248.350,3199.120,336196165.000
2022-08-26,3250.630,3236.220,3266.270,3232.280,309927554.000
2022-08-29,3203.100,3240.730,3240.730,3199.000,297015097.000
